model,rmse,mae,mape,r2
Linear,2.7415561786206504,1.8394775920484212,0.6574954861067155,0.29390317713713676
SVR,2.755579180643381,1.769646744937288,0.6128509676607572,0.2866613628106568
RandomForest,2.6911943643830547,1.7875979301872977,0.6455316632809273,0.31960660754958836
XGBoost,2.6169708144855934,1.7148699118293342,0.5965120316588727,0.3566197627545139
