model,rmse,mae,mape,r2
Linear,1.693797824152364,1.088032270320913,0.4960953495836114,0.07192366566665576
SVR,1.6997757510951728,1.0728087340927022,0.48450090752756564,0.06536117906436145
RandomForest,1.6888764046269955,1.0899701873166463,0.5039529879084053,0.07730898077236226
XGBoost,1.6750764172985178,1.0679893814526382,0.485949535138686,0.09232618687129468
