model,accuracy,f1,balanced_accuracy,mcc,g_mean,aucroc
LogisticRegression,0.731169683894569,0.5717274357441722,0.7182426822913544,0.39673631681503807,0.7177395110598767,0.7933698025765865
SVC,0.7417690648156833,0.5860772816117877,0.7296250444885517,0.4183541064722903,0.7291879306002738,0.8056566089042662
RandomForest,0.7932651721226902,0.47373447946513847,0.652082975280801,0.39231120459742014,0.5822608653765798,0.8044686146372577
XGBoost,0.7996435606415908,0.5230013398838768,0.6773978196283261,0.42373554036321026,0.6278951373017068,0.812677673792862
