model,rmse,mae,mape,r2
Linear,1.7839577236607622,1.068934240214215,0.5097391324062115,-0.10282189415536713
SVR,1.645747253684034,1.0423719888334264,0.490608415382043,0.061438919796379166
RandomForest,1.6382653580347457,1.0624786327620677,0.5118217883920497,0.06995329385795035
XGBoost,1.6251464386983296,1.042000356160843,0.4932413909453058,0.08478893104549279
