model,rmse,mae,mape,r2
Linear,0.768223075802532,0.6366288550264209,0.3492782568747121,0.10328836240580563
SVR,0.7594088757647661,0.6251186700561087,0.34013482738367506,0.12374714302666268
RandomForest,0.7532137673651778,0.6219311261343161,0.3405463170520204,0.1379854258923413
XGBoost,0.7488328188812254,0.6138412655772296,0.33423570611476133,0.14798380634743613
