model,rmse,mae,mape,r2
Linear,1.659131939734783,1.0770579185526392,0.5063629892549393,0.05746987058143216
SVR,1.6545932719729934,1.0611747267826535,0.49436951251775063,0.06261952729319253
RandomForest,1.6491390962490764,1.0754758198938477,0.5110757685713929,0.06878927461971007
XGBoost,1.632982021819792,1.0537958393421563,0.49359740589316564,0.08694655179358168
