model,rmse,mae,mape,r2
Linear,1.6829351520388105,1.0783624115571855,0.5029952496199354,0.05743441028259455
SVR,1.698695955316332,1.073038734056771,0.4932854957568288,0.03969736006788882
RandomForest,1.6868050676367201,1.0822091635890652,0.5072049619319626,0.05309456015257685
XGBoost,1.6781602188586608,1.0621097820921166,0.48925371713819654,0.06277543947349673
